epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19142857193946838,9.999999747378752e-06,2.023172616958618,0.2520325183868408,1.7456241846084595
1,0.27571427822113037,9.999999747378752e-06,1.7000099420547485,0.29674795269966125,1.674917459487915
2,0.3857142925262451,9.999999747378752e-06,1.4929749965667725,0.3455284535884857,1.5750352144241333
3,0.4328571557998657,9.999999747378752e-06,1.3674988746643066,0.47154471278190613,1.41436767578125
4,0.49714285135269165,9.999999747378752e-06,1.2336639165878296,0.6016260385513306,1.2900313138961792
5,0.5771428346633911,9.999999747378752e-06,1.1180639266967773,0.5731707215309143,1.1447116136550903
6,0.6499999761581421,9.999999747378752e-06,0.902545154094696,0.6666666865348816,0.9697896242141724
7,0.6442857384681702,9.999999747378752e-06,0.8952939510345459,0.6788617968559265,0.9247050285339355
8,0.7057142853736877,9.999999747378752e-06,0.7846270799636841,0.6951219439506531,0.8526986837387085
9,0.7300000190734863,9.999999747378752e-06,0.7137997150421143,0.6910569071769714,0.9063203930854797
10,0.7457143068313599,9.999999747378752e-06,0.6789721846580505,0.7032520174980164,0.8467587828636169
11,0.7699999809265137,9.999999747378752e-06,0.6080081462860107,0.6585366129875183,1.013595700263977
12,0.8128571510314941,9.999999747378752e-06,0.5491881370544434,0.6991869807243347,0.7974870204925537
13,0.7814285755157471,9.999999747378752e-06,0.5812146067619324,0.7317073345184326,0.9162318706512451
14,0.8171428442001343,9.999999747378752e-06,0.4917139410972595,0.6747967600822449,0.9080411791801453
