model,n_test_images_total,n_no_face_detected,n_evaluated,kmu_fed_accuracy,kmu_fed_macro_f1,kmu_fed_weighted_f1,fer2013_test_accuracy,accuracy_drop
custom_cnn,160,0,160,0.25625,0.14002151471896399,0.1189063178799727,0.6752577319587629,0.41900773195876295
vgg16,160,0,160,0.3625,0.2896737724441709,0.33547186180487887,0.6581220395653385,0.29562203956533856
