epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.23714286088943481,9.999999747378752e-06,1.8716171979904175,0.23170731961727142,1.868687629699707
1,0.3142857253551483,9.999999747378752e-06,1.7297002077102661,0.353658527135849,1.7264477014541626
2,0.3385714292526245,9.999999747378752e-06,1.6935572624206543,0.4065040647983551,1.6177983283996582
3,0.36571428179740906,9.999999747378752e-06,1.6188430786132812,0.48373982310295105,1.5244638919830322
4,0.4242857098579407,9.999999747378752e-06,1.5597127676010132,0.48373982310295105,1.4631224870681763
5,0.45428571105003357,9.999999747378752e-06,1.4743216037750244,0.5243902206420898,1.3568360805511475
6,0.46142858266830444,9.999999747378752e-06,1.426074504852295,0.5325203537940979,1.272238850593567
7,0.427142858505249,9.999999747378752e-06,1.4474167823791504,0.5528455376625061,1.242045521736145
8,0.5099999904632568,9.999999747378752e-06,1.358697533607483,0.5243902206420898,1.2039124965667725
9,0.5157142877578735,9.999999747378752e-06,1.3273981809616089,0.5447154641151428,1.119184136390686
10,0.5157142877578735,9.999999747378752e-06,1.3191158771514893,0.5203251838684082,1.1099332571029663
11,0.5057142972946167,9.999999747378752e-06,1.288700819015503,0.5365853905677795,1.0896159410476685
12,0.5385714173316956,4.999999873689376e-06,1.2351906299591064,0.5447154641151428,1.0488030910491943
13,0.5142857432365417,4.999999873689376e-06,1.240706443786621,0.5365853905677795,1.0647891759872437
14,0.5600000023841858,4.999999873689376e-06,1.2161493301391602,0.5284552574157715,1.0903960466384888
