epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.14002376794815063,0.0010000000474974513,2.305718183517456,0.14700418710708618,3.9787659645080566
1,0.13809777796268463,0.0010000000474974513,2.19582462310791,0.16140268743038177,2.050380229949951
2,0.1319509893655777,0.0010000000474974513,2.1138365268707275,0.1339990645647049,2.0198402404785156
3,0.1229357048869133,0.0010000000474974513,2.06603741645813,0.010915002785623074,2.030838966369629
4,0.11289595812559128,0.0010000000474974513,2.024263858795166,0.010915002785623074,2.018350124359131
5,0.12203417718410492,0.0010000000474974513,2.004359006881714,0.1718532294034958,1.9680674076080322
6,0.1139204204082489,0.0010000000474974513,1.9843816757202148,0.010915002785623074,1.9775099754333496
7,0.1074867844581604,0.0010000000474974513,1.9981693029403687,0.010915002785623074,1.9787603616714478
8,0.12621398270130157,0.0010000000474974513,1.9812837839126587,0.010915002785623074,2.0047035217285156
9,0.11260910332202911,0.0010000000474974513,1.9761399030685425,0.010915002785623074,1.9744852781295776
10,0.13047575950622559,0.0005000000237487257,1.964359164237976,0.17603343725204468,1.9336113929748535
11,0.12096873670816422,0.0005000000237487257,1.972891926765442,0.010915002785623074,1.9700788259506226
12,0.1154366284608841,0.0005000000237487257,1.959510087966919,0.010915002785623074,1.9682254791259766
13,0.11654304713010788,0.0005000000237487257,1.9583064317703247,0.1718532294034958,1.9537713527679443
14,0.10248740017414093,0.0005000000237487257,1.9778649806976318,0.010915002785623074,1.988922357559204
15,0.11314182728528976,0.0002500000118743628,1.9672305583953857,0.010915002785623074,1.969555377960205
16,0.10937179625034332,0.0002500000118743628,1.963704228401184,0.1718532294034958,1.9502520561218262
17,0.11596934497356415,0.0002500000118743628,1.9607492685317993,0.22108685970306396,1.9488636255264282
18,0.08957915008068085,0.0002500000118743628,1.9601342678070068,0.12076172977685928,1.9451029300689697
19,0.11609228700399399,0.0002500000118743628,1.9559450149536133,0.12076172977685928,1.9475373029708862
20,0.12133754044771194,0.0002500000118743628,1.9526798725128174,0.12076172977685928,1.9514118432998657
21,0.10719993710517883,0.0002500000118743628,1.9549199342727661,0.24152345955371857,1.9477661848068237
22,0.11207638680934906,0.0002500000118743628,1.9562312364578247,0.010915002785623074,1.957009196281433
23,0.11814121156930923,0.0002500000118743628,1.9567813873291016,0.17394334077835083,1.9056599140167236
24,0.12404212355613708,0.0002500000118743628,1.9631634950637817,0.12076172977685928,1.9567781686782837
25,0.11658402532339096,0.0002500000118743628,1.9559258222579956,0.010915002785623074,1.95750892162323
26,0.11228127777576447,0.0001250000059371814,1.9522292613983154,0.010915002785623074,1.9555385112762451
27,0.11195344477891922,0.0001250000059371814,1.95045006275177,0.010915002785623074,1.9522663354873657
28,0.11428922414779663,0.0001250000059371814,1.9503824710845947,0.010915002785623074,1.9529294967651367
29,0.10093021392822266,0.0001250000059371814,1.9533368349075317,0.17394334077835083,1.9428867101669312
30,0.09732410311698914,6.25000029685907e-05,1.951582670211792,0.010915002785623074,1.9599534273147583
31,0.08994795382022858,6.25000029685907e-05,1.9518170356750488,0.010915002785623074,1.9531842470169067
