condition,custom_cnn_accuracy,custom_cnn_macro_f1,vgg16_accuracy,vgg16_macro_f1
clean,0.67581499024798,0.6569665979720268,0.6553357481192533,0.6353349574606427
low_light,0.2862914460852605,0.1367406433698655,0.21788799108386736,0.11521106357354327
glare,0.5146280300919476,0.4658862103807526,0.4781276121482307,0.42436701369596735
motion_blur,0.441209250487601,0.33145922999665,0.2855948732237392,0.156690303242496
occlusion,0.44357759821677345,0.3679229133872985,0.3963499582056283,0.2726263660993348
head_pose,0.6677347450543327,0.6444842027846465,0.6337419894120925,0.6157031314493165
