run_name,model,date,epochs_run,best_val_acc,val_macro_f1,params,train_minutes,img_size,batch_size,lr
cnn_v0_buggy,custom_cnn,2026-09-19,32,0.2415234595537185,,4826055,11.55,48,64,0.001
cnn_check,custom_cnn,2026-09-19,3,0.3975847661495209,0.2408814637917407,4826055,36.8,48,64,0.001
cnn_v1,custom_cnn,2026-09-19,60,0.6665118336677551,0.6433200456339095,4826055,21.5,48,64,0.001
vgg16_v1,vgg16,2026-09-20,40,0.6600092649459839,0.633259510026784,14980935,123.35,224,32,1e-05
cnn_kmufed_ft_v1,custom_cnn,2026-09-25,15,0.5528455376625061,0.48202639949475384,4825798,3.3,48,16,1e-05
vgg16_kmufed_ft_v1,vgg16,2026-09-26,15,0.7317073345184326,0.707757853994942,14980422,68.49,224,16,1e-05
